Unit Model,Project,Unit Type,Unit Numbers,Num Bedrooms,Num Bathrooms,Interior Square Ft,Exterior Square Ft,Price,AVG PSF,Floor Plan,Facing Direction,Exterior Type
Unit 12,The Hill Residences,Suite,,0 Bed,1 Bath,305 sq.ft,,"$549,900",,,North,
Unit 12,The Hill Residences,Suite,,0 Bed,1 Bath,306 sq.ft,,"$549,900",,,North,
Unit 11,The Hill Residences,Suite,,0 Bed,1 Bath,307 sq.ft,,"$549,900",,,North,
Unit 11,The Hill Residences,Suite,,0 Bed,1 Bath,307 sq.ft,,"$549,900",,,North,
Unit 11,The Hill Residences,Suite,,0 Bed,1 Bath,307 sq.ft,,"$549,900",,,North,
Unit 05 (with Balcony),The Hill Residences,Suite,,0 Bed,1 Bath,314 sq.ft,,"$549,900",,,South West,
Unit 13 (with Balcony),The Hill Residences,Suite,,1 Bed,1 Bath,416 sq.ft,,"$721,900",,,North East,
Unit 01 (with Balcony),The Hill Residences,Suite,,1 Bed,1 Bath,416 sq.ft,,"$679,900",,,East,
Unit 14 (with Balcony),The Hill Residences,Suite,,1 Bed,1 Bath,437 sq.ft,,"$681,900",,,East,
Unit 01 (with Balcony),The Hill Residences,Suite,,1 Bed,1 Bath,439 sq.ft,,"$681,900",,,East,
Unit 03,The Hill Residences,Suite,,1 Bed,1 Bath,439 sq.ft,,"$665,900",,,East,
Unit 08,The Hill Residences,Suite,,1 Bed,1 Bath,448 sq.ft,,"$679,900",,,West,
Unit 02 (with Balcony),The Hill Residences,Suite,,1 Bed,1 Bath,459 sq.ft,,"$669,900",,,East,
Unit 10,The Hill Residences,Suite,,1 Bed,1 Bath,470 sq.ft,,"$729,900",,,North West,
Unit 10,The Hill Residences,Suite,,1 Bed,1 Bath,470 sq.ft,,"$729,900",,,North West,
Unit 10,The Hill Residences,Suite,,1 Bed,1 Bath,470 sq.ft,,"$729,900",,,North West,
Unit 04 (with Balcony),The Hill Residences,Suite,,1 Bed,1 Bath,472 sq.ft,,"$738,900",,,South East,
Unit 04 (with Balcony),The Hill Residences,Suite,,1 Bed,1 Bath,472 sq.ft,,"$738,900",,,South East,
Unit 09,The Hill Residences,Suite,,1 Bed,1 Bath,475 sq.ft,,"$679,900",,,West,
Unit 04,The Hill Residences,Suite,,1 Bed,1 Bath,477 sq.ft,,"$738,900",,,South East,
Unit 10 (with Balcony),The Hill Residences,Suite,,1 Bed,1 Bath,498 sq.ft,,"$689,900",,,East,
Unit 07,The Hill Residences,Suite,,2 Bed,2 Bath,563 sq.ft,,"$799,900",,,West,
Unit 06,The Hill Residences,Suite,,2 Bed,2 Bath,585 sq.ft,,"$829,900",,,South West,
Unit 03,The Hill Residences,Suite,,0 Bed,1 Bath,245 sq.ft,,,,,East,
Unit 01,The Hill Residences,Suite,,0 Bed,1 Bath,291 sq.ft,,,,,East,
Unit 12,The Hill Residences,Suite,,0 Bed,1 Bath,302 sq.ft,,,,,North,
Unit 12,The Hill Residences,Suite,,0 Bed,1 Bath,306 sq.ft,,,,,North,
Unit 11,The Hill Residences,Suite,,0 Bed,1 Bath,319 sq.ft,,,,,North,
Unit 05,The Hill Residences,Suite,,0 Bed,1 Bath,322 sq.ft,,,,,South West,
Unit 02,The Hill Residences,Suite,,0 Bed,1 Bath,365 sq.ft,,,,,East,
Unit 10,The Hill Residences,Suite,,0 Bed,1 Bath,375 sq.ft,,,,,East,
Unit 13,The Hill Residences,Suite,,1 Bed,1 Bath,425 sq.ft,,,,,North East,
Unit 13,The Hill Residences,Suite,,1 Bed,1 Bath,428 sq.ft,,,,,North East,
Unit 09,The Hill Residences,Suite,,1 Bed,1 Bath,440 sq.ft,,,,,West,
Unit 08,The Hill Residences,Suite,,1 Bed,1 Bath,461 sq.ft,,,,,West,
Unit 08,The Hill Residences,Suite,,1 Bed,1 Bath,461 sq.ft,,,,,West,
Unit 09,The Hill Residences,Suite,,0 Bed,1 Bath,462 sq.ft,,,,,North,
Unit 10,The Hill Residences,Suite,,1.5 Bed,1 Bath,524 sq.ft,,,,,North West,
JR1,Park Road Condos,Suite,,0 Bed,1 Bath,329 sq.ft,,"$661,900",,,East,
JR3,Park Road Condos,Suite,,0 Bed,1 Bath,340 sq.ft,,"$588,900",,,North,
S11,Park Road Condos,Suite,,0 Bed,1 Bath,360 sq.ft,,"$636,900",,,North,
JR5,Park Road Condos,Suite,,0 Bed,1 Bath,362 sq.ft,,"$612,900",,,North East,
JR15,Park Road Condos,Suite,,0 Bed,1 Bath,392 sq.ft,,"$657,900",,,South,
JR2,Park Road Condos,Suite,,0 Bed,1 Bath,422 sq.ft,,"$716,900",,,South,
1A,Park Road Condos,Suite,,1 Bed,1 Bath,438 sq.ft,,"$780,900",,,South,
1E+M,Park Road Condos,Suite,,1.5 Bed,1 Bath,447 sq.ft,,"$732,900",,,South,
1L,Park Road Condos,Suite,,1 Bed,1 Bath,453 sq.ft,,"$754,900",,,North,
1J,Park Road Condos,Suite,,1 Bed,1 Bath,460 sq.ft,,"$753,900",,,North,
1D+M,Park Road Condos,Suite,,1.5 Bed,1 Bath,465 sq.ft,,"$750,900",,,North,
1D+D,Park Road Condos,Suite,,1.5 Bed,1 Bath,469 sq.ft,,"$781,900",,,South,
1A+D,Park Road Condos,Suite,,1.5 Bed,1 Bath,503 sq.ft,,"$857,900",,,South,
1K+D,Park Road Condos,Suite,,1.5 Bed,1 Bath,550 sq.ft,,"$821,900",,,North,
1O+D,Park Road Condos,Suite,,1.5 Bed,1 Bath,567 sq.ft,,"$865,900",,,North West,
1C+D,Park Road Condos,Suite,,1.5 Bed,2 Bath,589 sq.ft,,"$950,900",,,North,
2K,Park Road Condos,Suite,,2 Bed,2 Bath,610 sq.ft,,"$948,900",,,North,
2C,Park Road Condos,Suite,,2 Bed,2 Bath,611 sq.ft,,"$985,900",,,North,
2E,Park Road Condos,Suite,,2 Bed,2 Bath,611 sq.ft,,"$976,900",,,North,
2J+M,Park Road Condos,Suite,,2.5 Bed,2 Bath,675 sq.ft,,"$1,059,900",,,South,
2H,Park Road Condos,Suite,,2 Bed,2 Bath,681 sq.ft,,"$1,120,900",,,North East,
2A,Park Road Condos,Suite,,2 Bed,2 Bath,686 sq.ft,,"$1,148,900",,,North East,
2G+M,Park Road Condos,Suite,,2.5 Bed,2 Bath,730 sq.ft,,"$1,134,900",,,North West,
2B,Park Road Condos,Suite,,2 Bed,2 Bath,731 sq.ft,,"$1,198,900",,,South East,
3F,Park Road Condos,Suite,,3 Bed,2 Bath,796 sq.ft,,"$1,239,900",,,North,
3B+M,Park Road Condos,Suite,,3.5 Bed,2 Bath,801 sq.ft,,"$1,213,900",,,South East,
3E+M,Park Road Condos,Suite,,3.5 Bed,2 Bath,802 sq.ft,,"$1,206,900",,,South East,
3H,Park Road Condos,Suite,,3 Bed,2 Bath,823 sq.ft,,"$1,260,900",,,South East,
3A+M,Park Road Condos,Suite,,3.5 Bed,2 Bath,832 sq.ft,,"$1,264,900",,,North West,
3D+M,Park Road Condos,Suite,,3.5 Bed,2 Bath,841 sq.ft,,"$1,238,900",,,North West,
3K+M,Park Road Condos,Suite,,3.5 Bed,2 Bath,841 sq.ft,,"$1,245,900",,,North West,
3J+M,Park Road Condos,Suite,,3.5 Bed,2 Bath,841 sq.ft,,"$1,239,900",,,North West,
3I,Park Road Condos,Suite,,3 Bed,2 Bath,870 sq.ft,,"$1,292,900",,,North West,
JR6,Park Road Condos,Suite,,0 Bed,1 Bath,363 sq.ft,,,,,North,
JR12,Park Road Condos,Suite,,0 Bed,1 Bath,435 sq.ft,,,,,South,
1M,Park Road Condos,Suite,,1 Bed,1 Bath,457 sq.ft,,,,,South West,
1H,Park Road Condos,Suite,,1 Bed,1 Bath,462 sq.ft,,,,,South West,
1F+M,Park Road Condos,Suite,,1.5 Bed,1 Bath,485 sq.ft,,,,,South,
1G+M,Park Road Condos,Suite,,1.5 Bed,1 Bath,489 sq.ft,,,,,South,
1B+M,Park Road Condos,Suite,,1.5 Bed,1 Bath,492 sq.ft,,,,,South,
1M+D,Park Road Condos,Suite,,1.5 Bed,1 Bath,567 sq.ft,,,,,North EastNorth West,
1N+D,Park Road Condos,Suite,,1.5 Bed,1 Bath,567 sq.ft,,,,,North West,
2F,Park Road Condos,Suite,,2 Bed,2 Bath,645 sq.ft,,,,,South East,
3C+M,Park Road Condos,Suite,,3.5 Bed,2 Bath,835 sq.ft,,,,,North West,
S-D,Junction Square Condos,Suite,,0 Bed,1 Bath,430 sq.ft,,,,,North,
S-C,Junction Square Condos,Suite,,0 Bed,1 Bath,448 sq.ft,,,,,East,
1-F,Junction Square Condos,Suite,,1 Bed,1 Bath,483 sq.ft,,,,,North,
1-C,Junction Square Condos,Suite,,1 Bed,1 Bath,522 sq.ft,,,,,East,
1S-H,Junction Square Condos,Suite,,1.5 Bed,1 Bath,549 sq.ft,,,,,West,
1-E,Junction Square Condos,Suite,,1 Bed,1 Bath,552 sq.ft,,,,,North,
1D-E,Junction Square Condos,Suite,,1.5 Bed,1 Bath,576 sq.ft,,,,,North,
1D-B,Junction Square Condos,Suite,,1.5 Bed,1 Bath,588 sq.ft,,,,,East,
1S-F,Junction Square Condos,Suite,,1.5 Bed,1 Bath,594 sq.ft,,,,,East,
1D-D,Junction Square Condos,Suite,,1.5 Bed,1 Bath,603 sq.ft,,,,,East,
2-B,Junction Square Condos,Suite,,2 Bed,2 Bath,655 sq.ft,,,,,West,
2D-B,Junction Square Condos,Suite,,2.5 Bed,2 Bath,708 sq.ft,,,,,South,
2S-C,Junction Square Condos,Suite,,2.5 Bed,2 Bath,713 sq.ft,,,,,South,
2-C,Junction Square Condos,Suite,,2 Bed,2 Bath,733 sq.ft,,,,,South,
2S-E,Junction Square Condos,Suite,,2.5 Bed,2 Bath,760 sq.ft,,,,,North West,
2S-A,Junction Square Condos,Suite,,2.5 Bed,2 Bath,790 sq.ft,,,,,East,
2S-B,Junction Square Condos,Suite,,2.5 Bed,2 Bath,803 sq.ft,,,,,East,
1D-G,Junction Square Condos,Suite,,1.5 Bed,1 Bath,878 sq.ft,,,,,West,
2D-C,Junction Square Condos,Suite,,2.5 Bed,2 Bath,886 sq.ft,,,,,North,
3-A,Junction Square Condos,Suite,,3 Bed,2 Bath,887 sq.ft,,,,,West,
3D-A,Junction Square Condos,Suite,,3.5 Bed,2 Bath,1289 sq.ft,,,,,North,
1A,Westmount Boutique Residences,Suite,,1 Bed,1 Bath,530 sq.ft,,"$759,880",,,South,
1D,Westmount Boutique Residences,Suite,,1 Bed,1 Bath,531 sq.ft,,,,,North,
1F,Westmount Boutique Residences,Suite,,1 Bed,1 Bath,535 sq.ft,,,,,South East,
1Cb,Westmount Boutique Residences,Suite,,1 Bed,1 Bath,573 sq.ft,,,,,,
1E,Westmount Boutique Residences,Suite,,1 Bed,1 Bath,574 sq.ft,,,,,North EastNorth West,
1B,Westmount Boutique Residences,Suite,,1 Bed,1 Bath,577 sq.ft,,"$819,880",,,North,
1Ca,Westmount Boutique Residences,Suite,,1 Bed,1 Bath,578 sq.ft,,,,,North,
1&Eb,Westmount Boutique Residences,Suite,,1.5 Bed,1 Bath,598 sq.ft,,,,,North,
1&E,Westmount Boutique Residences,Suite,,1.5 Bed,1 Bath,603 sq.ft,,,,,North,
1&Ga,Westmount Boutique Residences,Suite,,1.5 Bed,1 Bath,610 sq.ft,,,,,North,
1&Gb,Westmount Boutique Residences,Suite,,1.5 Bed,1 Bath,615 sq.ft,,,,,North,
1&B,Westmount Boutique Residences,Suite,,1.5 Bed,1 Bath,646 sq.ft,,"$905,880",,,South,
1&B (BF),Westmount Boutique Residences,Suite,,1.5 Bed,1 Bath,648 sq.ft,,,,,South,
1&A,Westmount Boutique Residences,Suite,,1.5 Bed,1 Bath,663 sq.ft,,,,,North,
1&D,Westmount Boutique Residences,Suite,,1.5 Bed,1 Bath,672 sq.ft,,"$960,880",,,South,
2D,Westmount Boutique Residences,Suite,,2 Bed,1 Bath,701 sq.ft,,,,,South,
2E,Westmount Boutique Residences,Suite,,2 Bed,2 Bath,721 sq.ft,,,,,South,
2H,Westmount Boutique Residences,Suite,,2 Bed,2 Bath,739 sq.ft,,,,,North,
1&C,Westmount Boutique Residences,Suite,,1.5 Bed,1 Bath,756 sq.ft,,"$1,026,880",,,South EastSouth West,
2G,Westmount Boutique Residences,Suite,,2 Bed,1 Bath,757 sq.ft,,,,,South EastSouth West,
1&F,Westmount Boutique Residences,Suite,,1.5 Bed,1 Bath,758 sq.ft,,"$1,052,880",,,South East,
2F,Westmount Boutique Residences,Suite,,2 Bed,2 Bath,763 sq.ft,,,,,South,
2K,Westmount Boutique Residences,Suite,,2 Bed,2 Bath,792 sq.ft,,,,,North,
2B,Westmount Boutique Residences,Suite,,2 Bed,2 Bath,814 sq.ft,,"$1,136,880",,,North EastNorth West,
2A,Westmount Boutique Residences,Suite,,2 Bed,2 Bath,815 sq.ft,,"$1,131,880",,,North,
2&A (BF),Westmount Boutique Residences,Suite,,2.5 Bed,2 Bath,828 sq.ft,,,,,South,
2&A,Westmount Boutique Residences,Suite,,2.5 Bed,2 Bath,829 sq.ft,,"$1,145,880",,,South,
2C,Westmount Boutique Residences,Suite,,2 Bed,2 Bath,837 sq.ft,,,,,North EastNorth West,
2Ab,Westmount Boutique Residences,Suite,,2 Bed,2 Bath,839 sq.ft,,"$1,162,880",,,North,
2Ac,Westmount Boutique Residences,Suite,,2 Bed,2 Bath,855 sq.ft,,"$1,179,880",,,North,
2&B,Westmount Boutique Residences,Suite,,2.5 Bed,2 Bath,864 sq.ft,,"$1,231,880",,,South,
2I,Westmount Boutique Residences,Suite,,2 Bed,1.5 Bath,883 sq.ft,,"$1,236,880",,,North West,
2J,Westmount Boutique Residences,Suite,,2 Bed,1.5 Bath,912 sq.ft,,,,,South West,
2&C,Westmount Boutique Residences,Suite,,2.5 Bed,2.5 Bath,1099 sq.ft,,,,,NorthSouth,
2L,Westmount Boutique Residences,Suite,,2 Bed,2.5 Bath,1114 sq.ft,,"$1,570,880",,,South,
Aqua,Vita on the Lake Condos,Suite,,3 Bed,2 Bath,1211 sq.ft,,"$1,539,990",,,South East,
N1,Vita on the Lake Condos,Suite,,1 Bed,1 Bath,524 sq.ft,,,,,West,
N2,Vita on the Lake Condos,Suite,,1 Bed,1 Bath,525 sq.ft,,,,,West,
N3,Vita on the Lake Condos,Suite,,1.5 Bed,2 Bath,615 sq.ft,,,,,NorthSouth,
N4,Vita on the Lake Condos,Suite,,1.5 Bed,2 Bath,650 sq.ft,,,,,North WestSouth West,
N5,Vita on the Lake Condos,Suite,,1.5 Bed,2 Bath,663 sq.ft,,,,,East,
T1,Vita on the Lake Condos,Suite,,2 Bed,2 Bath,740 sq.ft,,,,,South West,
PH5 (Penthouse),Vita on the Lake Condos,Suite,,2 Bed,2 Bath,775 sq.ft,,,,,West,
C1,Vita on the Lake Condos,Suite,,2.5 Bed,2 Bath,820 sq.ft,,,,,North EastSouth East,
T2,Vita on the Lake Condos,Suite,,2 Bed,2 Bath,854 sq.ft,,,,,South,
T3,Vita on the Lake Condos,Suite,,2 Bed,2 Bath,868 sq.ft,,,,,South East,
T3,Vita on the Lake Condos,Suite,,2 Bed,2 Bath,868 sq.ft,,,,,South East,
T4,Vita on the Lake Condos,Suite,,2 Bed,2 Bath,1011 sq.ft,,,,,East,
T4,Vita on the Lake Condos,Suite,,2 Bed,2 Bath,1011 sq.ft,,,,,East,
PH4 (Penthouse),Vita on the Lake Condos,Suite,,2 Bed,2 Bath,1060 sq.ft,,,,,South West,
T5,Vita on the Lake Condos,Suite,,2 Bed,2.5 Bath,1170 sq.ft,,,,,North East,
T5,Vita on the Lake Condos,Suite,,2 Bed,2.5 Bath,1170 sq.ft,,,,,North East,
C2,Vita on the Lake Condos,Suite,,2.5 Bed,2.5 Bath,1211 sq.ft,,,,,South East,
C2,Vita on the Lake Condos,Suite,,2.5 Bed,2.5 Bath,1211 sq.ft,,,,,South East,
PH1 (Penthouse),Vita on the Lake Condos,Suite,,2.5 Bed,2 Bath,1315 sq.ft,,,,,North West,
C3,Vita on the Lake Condos,Suite,,2.5 Bed,2.5 Bath,1544 sq.ft,,,,,North East,
PH3 (Penthouse),Vita on the Lake Condos,Suite,,3.5 Bed,3.5 Bath,1746 sq.ft,,,,,South East,
PH2 (Penthouse),Vita on the Lake Condos,Suite,,3.5 Bed,3.5 Bath,1746 sq.ft,,,,,North East,
Suite 02 - Upper Tower ...,The One Condos,Suite,,2 Bed,2 Bath,1352 sq.ft,,"$3,813,888",,,East,
Suite 02 - Upper Tower ...,The One Condos,Suite,,2 Bed,2 Bath,1352 sq.ft,,"$3,813,888",,,East,
Suite 06 - Upper Tower ...,The One Condos,Suite,,2.5 Bed,2 Bath,1495 sq.ft,,"$3,697,888",,,North West,
Suite 01 - Upper Tower ...,The One Condos,Suite,,3 Bed,2 Bath,1495 sq.ft,,"$3,736,888",,,North East,
Suite 01 - Upper Tower ...,The One Condos,Suite,,3 Bed,2 Bath,1495 sq.ft,,"$3,736,888",,,North East,
Suite 06 - Upper Tower ...,The One Condos,Suite,,2.5 Bed,2 Bath,1495 sq.ft,,"$3,697,888",,,North West,
Suite 03 (Option 1) - U...,The One Condos,Suite,,3 Bed,2 Bath,1499 sq.ft,,"$4,786,888",,,South East,
Suite 03 (Option 1) - U...,The One Condos,Suite,,3 Bed,2 Bath,1499 sq.ft,,"$4,786,888",,,South East,
Suite 01 - High-Rise Co...,The One Condos,Suite,,3 Bed,2 Bath,1909 sq.ft,,"$5,499,888",,,North East,
Suite 01 - High-Rise Co...,The One Condos,Suite,,3 Bed,2 Bath,1909 sq.ft,,"$5,499,888",,,North East,
Suite 04 - High-Rise Co...,The One Condos,Suite,,3 Bed,2 Bath,1909 sq.ft,,"$5,499,888",,,North West,
Suite 04 - High-Rise Co...,The One Condos,Suite,,3 Bed,2 Bath,1909 sq.ft,,"$5,499,888",,,North West,
Suite 02 - High-Rise Co...,The One Condos,Suite,,2.5 Bed,2.5 Bath,2466 sq.ft,,"$7,819,888",,,South East,
Suite 02 - High-Rise Co...,The One Condos,Suite,,2.5 Bed,2.5 Bath,2466 sq.ft,,"$7,819,888",,,South East,
Suite 03 - High-Rise Co...,The One Condos,Suite,,3.5 Bed,2.5 Bath,2468 sq.ft,,"$8,182,888",,,South West,
Suite 03 - High-Rise Co...,The One Condos,Suite,,3.5 Bed,2.5 Bath,2468 sq.ft,,"$8,182,888",,,South West,
Suite 02 (Ground Level)...,The One Condos,Suite,,3.5 Bed,3.5 Bath,6037 sq.ft,,"$31,620,888",,,South East,
Suite 02 (2nd Level) - ...,The One Condos,Suite,,3.5 Bed,3.5 Bath,6037 sq.ft,,"$31,620,888",,,South East,
Suite 02 (3rd Level) - ...,The One Condos,Suite,,3.5 Bed,3.5 Bath,6037 sq.ft,,"$31,620,888",,,South East,
Suite 02 (Terrace) - Pe...,The One Condos,Suite,,3.5 Bed,3.5 Bath,6037 sq.ft,,"$31,620,888",,,South East,
Suite 08 - Tower Collec...,The One Condos,Suite,,1 Bed,1 Bath,591 sq.ft,,,,,West,
Suite 08 - Tower Collec...,The One Condos,Suite,,1 Bed,1 Bath,591 sq.ft,,,,,West,
Suite 03 - Tower Collec...,The One Condos,Suite,,1 Bed,1 Bath,591 sq.ft,,,,,East,
Suite 03 - Tower Collec...,The One Condos,Suite,,1 Bed,1 Bath,591 sq.ft,,,,,East,
"Suite 01, 06 - Tower Co...",The One Condos,Suite,,1.5 Bed,1 Bath,725 sq.ft,,,,,NorthSouth,
"Suite 05, 10 - Tower Co...",The One Condos,Suite,,1.5 Bed,1 Bath,725 sq.ft,,,,,NorthSouth,
"Suite 01, 06 - Tower Co...",The One Condos,Suite,,1 Bed,1 Bath,725 sq.ft,,,,,NorthSouth,
"Suite 05, 10 - Tower Co...",The One Condos,Suite,,1 Bed,1 Bath,725 sq.ft,,,,,NorthSouth,
Suite 04 - Tower Collec...,The One Condos,Suite,,2 Bed,2 Bath,1101 sq.ft,,,,,South East,
Suite 07 - Tower Collec...,The One Condos,Suite,,2 Bed,2 Bath,1101 sq.ft,,,,,South West,
Suite 07 - Tower Collec...,The One Condos,Suite,,2 Bed,2 Bath,1101 sq.ft,,,,,South West,
Suite 04 - Tower Collec...,The One Condos,Suite,,2 Bed,2 Bath,1101 sq.ft,,,,,South East,
Suite 09 - Tower Collec...,The One Condos,Suite,,2 Bed,2 Bath,1166 sq.ft,,,,,North West,
Suite 09 - Tower Collec...,The One Condos,Suite,,2 Bed,2 Bath,1166 sq.ft,,,,,North West,
Suite 02 - Tower Collec...,The One Condos,Suite,,2 Bed,2 Bath,1166 sq.ft,,,,,North East,
Suite 02 - Tower Collec...,The One Condos,Suite,,2 Bed,2 Bath,1166 sq.ft,,,,,North East,
Suite 05 - Upper Tower ...,The One Condos,Suite,,2 Bed,2 Bath,1352 sq.ft,,,,,West,
Suite 05 - Upper Tower ...,The One Condos,Suite,,2 Bed,2 Bath,1352 sq.ft,,,,,West,
5503 - Option 2 (Upper ...,The One Condos,Suite,,2 Bed,2 Bath,1499 sq.ft,,,,,South East,
Suite 04 - Upper Tower ...,The One Condos,Suite,,2.5 Bed,2 Bath,1502 sq.ft,,,,,South West,
Suite 04 - Upper Tower ...,The One Condos,Suite,,2.5 Bed,2 Bath,1502 sq.ft,,,,,South West,
5004 (Upper Tower Colle...,The One Condos,Suite,,2.5 Bed,2 Bath,1502 sq.ft,,,,,South West,
Suite 01 - Sub Penthous...,The One Condos,Suite,,3.5 Bed,3.5 Bath,4351 sq.ft,,,,,NorthSouthWest,
Suite 01 - Sub Penthous...,The One Condos,Suite,,3.5 Bed,3.5 Bath,4351 sq.ft,,,,,NorthSouthWest,
Model 1B-T (I),Daniels FirstHome™ Keelesdale Phase 3,Suite,,1 Bed,1 Bath,518 sq.ft,,"$584,900",,,West,
Model 1F-T (BF) (I),Daniels FirstHome™ Keelesdale Phase 3,Suite,,1 Bed,1 Bath,552 sq.ft,,"$625,900",,,East,
Model 1F+D-T (I),Daniels FirstHome™ Keelesdale Phase 3,Suite,,1.5 Bed,1 Bath,629 sq.ft,,"$688,900",,,West,
Model 2B-T (II),Daniels FirstHome™ Keelesdale Phase 3,Suite,,2 Bed,2 Bath,727 sq.ft,,"$773,900",,,SouthWest,
Model 2D-T (I),Daniels FirstHome™ Keelesdale Phase 3,Suite,,2 Bed,2 Bath,771 sq.ft,,"$803,900",,,West,
Model 2H-T (BF) (I),Daniels FirstHome™ Keelesdale Phase 3,Suite,,2 Bed,2 Bath,780 sq.ft,,"$799,900",,,West,
Model 2M-T,Daniels FirstHome™ Keelesdale Phase 3,Suite,,2 Bed,2 Bath,784 sq.ft,,"$842,900",,,SouthEast,
Model 2S-T (BF),Daniels FirstHome™ Keelesdale Phase 3,Suite,,2 Bed,2 Bath,808 sq.ft,,"$856,900",,,East,
Model 2R-T (BF),Daniels FirstHome™ Keelesdale Phase 3,Suite,,2 Bed,2 Bath,808 sq.ft,,"$856,900",,,East,
Model 2X,Daniels FirstHome™ Keelesdale Phase 3,Suite,,2 Bed,2 Bath,852 sq.ft,,"$904,900",,,SouthWest,
Model 3C (BF),Daniels FirstHome™ Keelesdale Phase 3,Suite,,3 Bed,2 Bath,1143 sq.ft,,"$1,017,900",,,NorthEast,
Model 1A,Daniels FirstHome™ Keelesdale Phase 3,Suite,,1 Bed,1 Bath,504 sq.ft,,,,,West,
Model 1B,Daniels FirstHome™ Keelesdale Phase 3,Suite,,1 Bed,1 Bath,518 sq.ft,,,,,West,
Model 1D,Daniels FirstHome™ Keelesdale Phase 3,Suite,,1 Bed,1 Bath,521 sq.ft,,,,,West,
Model 1E,Daniels FirstHome™ Keelesdale Phase 3,Suite,,1 Bed,1 Bath,550 sq.ft,,,,,West,
Model 1F (BF),Daniels FirstHome™ Keelesdale Phase 3,Suite,,1 Bed,1 Bath,552 sq.ft,,,,,East,
Model A (Townhome),Daniels FirstHome™ Keelesdale Phase 3,Suite,,1 Bed,1 Bath,590 sq.ft,,,,,NorthSouth,
Model 1D+D,Daniels FirstHome™ Keelesdale Phase 3,Suite,,1.5 Bed,1 Bath,619 sq.ft,,,,,West,
Model 1C+D-T,Daniels FirstHome™ Keelesdale Phase 3,Suite,,1.5 Bed,1 Bath,630 sq.ft,,,,,NorthWest,
Model 2A,Daniels FirstHome™ Keelesdale Phase 3,Suite,,2 Bed,2 Bath,713 sq.ft,,,,,West,
Model 2B-T (I),Daniels FirstHome™ Keelesdale Phase 3,Suite,,2 Bed,2 Bath,727 sq.ft,,,,,SouthEast,
Model B (Townhome),Daniels FirstHome™ Keelesdale Phase 3,Suite,,2 Bed,1 Bath,742 sq.ft,,,,,NorthSouthEastWest,
Model 2C,Daniels FirstHome™ Keelesdale Phase 3,Suite,,2 Bed,2 Bath,742 sq.ft,,,,,SouthEast,
Model 2E,Daniels FirstHome™ Keelesdale Phase 3,Suite,,2 Bed,2 Bath,762 sq.ft,,,,,NorthEast,
Model 2F,Daniels FirstHome™ Keelesdale Phase 3,Suite,,2 Bed,2 Bath,763 sq.ft,,,,,NorthWest,
Model 2G-T (I),Daniels FirstHome™ Keelesdale Phase 3,Suite,,2 Bed,2 Bath,776 sq.ft,,,,,West,
Model 2M,Daniels FirstHome™ Keelesdale Phase 3,Suite,,2 Bed,2 Bath,784 sq.ft,,,,,SouthEast,
Model 2J,Daniels FirstHome™ Keelesdale Phase 3,Suite,,2 Bed,2 Bath,790 sq.ft,,,,,West,
Model 2K (BF),Daniels FirstHome™ Keelesdale Phase 3,Suite,,2 Bed,2 Bath,795 sq.ft,,,,,West,
Model 2S (BF),Daniels FirstHome™ Keelesdale Phase 3,Suite,,2 Bed,2 Bath,808 sq.ft,,,,,East,
Model 2R (BF),Daniels FirstHome™ Keelesdale Phase 3,Suite,,2 Bed,2 Bath,808 sq.ft,,,,,East,
Model 3A,Daniels FirstHome™ Keelesdale Phase 3,Suite,,3 Bed,2 Bath,973 sq.ft,,,,,SouthWest,
Model 3A-T,Daniels FirstHome™ Keelesdale Phase 3,Suite,,3 Bed,2 Bath,973 sq.ft,,,,,SouthWest,
Model 3B,Daniels FirstHome™ Keelesdale Phase 3,Suite,,3 Bed,2 Bath,999 sq.ft,,,,,SouthWest,
Model C (I) (Townhome),Daniels FirstHome™ Keelesdale Phase 3,Suite,,2 Bed,2.5 Bath,1182 sq.ft,,,,,NorthSouth,
Model C (II) (Townhome),Daniels FirstHome™ Keelesdale Phase 3,Suite,,2 Bed,2.5 Bath,1182 sq.ft,,,,,NorthSouth,
Model C (III) (Townhome),Daniels FirstHome™ Keelesdale Phase 3,Suite,,2 Bed,2.5 Bath,1182 sq.ft,,,,,NorthSouth,
Model D (Townhome),Daniels FirstHome™ Keelesdale Phase 3,Suite,,3 Bed,3 Bath,1349 sq.ft,,,,,NorthSouthEastWest,
Unit S-F,The Forest Hill Condos,Suite,,0 Bed,1 Bath,398 sq.ft,,"$690,000",,,East,
Unit S-A,The Forest Hill Condos,Suite,,0 Bed,1 Bath,355 sq.ft,,,,,East,
Unit S-C,The Forest Hill Condos,Suite,,0 Bed,1 Bath,405 sq.ft,,,,,East,
Unit S-D,The Forest Hill Condos,Suite,,0 Bed,1 Bath,412 sq.ft,,,,,North,
Unit S-G,The Forest Hill Condos,Suite,,0 Bed,1 Bath,461 sq.ft,,,,,SouthEast,
Unit 1-A,The Forest Hill Condos,Suite,,1 Bed,1 Bath,468 sq.ft,,,,,North,
Unit 1S-B,The Forest Hill Condos,Suite,,1 Bed,1 Bath,490 sq.ft,,,,,North,
Unit 1-D,The Forest Hill Condos,Suite,,1 Bed,1 Bath,501 sq.ft,,,,,West,
Unit 1S-A,The Forest Hill Condos,Suite,,1 Bed,1 Bath,520 sq.ft,,,,,West,
